content,label
帝舜收集公侯伯子男五等侯爵所持桓圭、信圭、躬圭、谷璧、蒲璧五种玉制符信，公侯伯子男五等侯爵持符信，帝舜选择良月吉日，帝舜召见四岳和各州州牧,政治能力
帝舜让朱虎熊罴做益的助手,政治能力
帝舜到东方,|
帝尧知道凭着帝舜的才能是可以把天下传授给他的，,政治能力
帝舜待奉父母恭谨，帝舜友爱兄弟，,私德品行
帝舜临帝位，帝舜遵循为子之道，弟弟象为诸侯,私德品行
帝尧让帝舜参与百官的事，百官的事变有条不紊,政治能力
帝舜推荐禹,政治能力
四岳说有一个单身汉流寓在民间叫虞舜，他是个盲人的儿子,家庭背景
帝舜名叫重华，帝舜的父亲叫瞽叟，瞽叟的父亲叫桥牛，桥牛的父亲叫句望，句望的父亲叫敬康，敬康的父亲叫穷蝉，穷蝉的父亲是颛顼帝，颛顼的父亲是昌意，中间几代是平民,家庭背景
帝舜试任司徒之职，帝舜理顺父义母慈兄友弟恭子孝这五种伦理道德,政治能力
帝舜到文祖庙，帝舜开放四门，四方畅通言路，帝舜让十二州牧评论天子的德行。帝舜施恩德，帝舜远离小人,"政治能力,私德品行"
帝舜陈述治国之道,政治能力
帝舜说：皋陶，蛮夷侵扰中原，抢劫杀人，在我们的境内外作乱，你担任司法官，五刑要使用得当，根据罪行轻重在三个地方行刑。,政治能力
帝舜流放四凶到边远地区，四凶抵御害人的妖魔，大家说没有恶人了,政治能力
事务发展,政治能力
帝舜接待宾客,|
帝尧观察帝舜做天子是否合天意,|
帝舜住的地方成为一个村落，二年成为一个小城镇,"政治能力,私德品行"
瞽叟想杀帝舜，瞽叟让帝舜修补谷仓，帝舜保护自己,|
帝尧认为帝舜十分聪明很有道德,私德品行
帝舜召见东方各诸侯，帝舜修吉、凶、宾、军、嘉五种礼仪，帝舜规定诸侯用五种圭壁三种彩缯,政治能力
帝舜号为有虞,['|']
帝舜定位日月及金木水火土五星，帝舜举行临时仪式，帝舜告上天，帝舜祭祀天地四时，帝舜祭祀各路神祗,['传奇色彩']
帝舜出名,['军事能力']
帝舜耕田，帝舜打鱼，帝舜做陶器，帝舜做各种家用器物，帝舜跑买卖，,['私德品行']
帝舜说喂你们二十二个人要谨守职责时时辅佐我做好上天交付的治国大事,['政治能力']
帝尧要帝舜登临天子位，帝舜推让说德行不够,['政治能力']
帝舜让尧的两个女儿降尊贵之心住妫河边的家中，她们遵守为妇之道,['私德品行']
